Título;Autor;Precio;Orden mas vendidos;Genero
Guanyaràs una mar llisa;Martín i Serrra, Miquel;19,00 €;56;Ciencia ficción
Ofert a les mans, el paradís crema;Guasch, Pol;17,90 €;57;
No cometràs adulteri;Vidal, Blanca Llum;11,50 €;58;Contemporáneo
La garota entre les dents;Cusí Marès, Pau;17,90 €;59;Romántica
Riu de safirs;Pastor Pedrón, Marc;21,00 €;60;Fantasía
Urgell. La febre d'aigua;Villatoro, Vicenç;21,90 €;61;Aventuras
La Casa de la Nit;Nesbo, Jo;20,90 €;62;Novela histórica
Nascuda de Venus;Lleonart Dormuà, Sònia;21,90 €;63;Ciencia ficción
Educa el teu cervell;Bueno, David;20,90 €;64;Aventuras
Blancor;Fosse, Jon;15,90 €;65;
El Soroll de les absències;Beltran Curto, Fàtima;17,50 €;66;Distopía
Obres púbiques;de Pedrolo, Manuel;22,00 €;67;Fantasía
Islàndia, l'illa del vent;Lluent, Èric;21,50 €;68;Contemporáneo
El temps de la promesa;Marina Garcés;10,90 €;69;Romántica
La memòria de les formigues;Batallé, Iolanda;9,95 €;70;Fantasía
Les calces al sol (edició especial TD);Rodríguez Sirvent, Regina;22,90 €;71;
La terra dura;Punsoda Ricart, Anna;18,50 €;72;Romántica
La misteriosa i sorprenent casa de l'avi;Martí Orriols, Meritxell;18,90 €;73;Romántica
Febre amb gel;Bombí-Vilaseca, Francesc;14,00 €;74;Ciencia ficción
El secret de la vida eterna;Esteller, Manel/Macip, Salvador;20,90 €;75;Aventuras
Tiberi Cèsar;Cadenes, Núria;20,90 €;76;Romántica
Maria Antonieta;Zweig, Stefan;24,90 €;77;Fantasía
Una vida a les muntanyes;Orriols Garcia, Abraham;19,95 €;78;
Massa deutes amb les flors;Batallé, Iolanda;20,50 €;79;Ciencia ficción
Ningú ens va dir que seria fàcil;Invernon, Ester;20,90 €;80;Romántica
A casa teníem un himne;Climent, Maria;20,00 €;81;Novela negra, thriller o suspense.
L'ocell de foc i altres contes russos;Aleksandr Afanàssiev / Ivan Bilibin;18,90 €;82;Novela histórica
A les dues seran les tres;Pàmies, Sergi;14,00 €;83;Aventuras
Un mal any;Fante, John;15,00 €;84;
Poesies;Catul;9,95 €;85;Fantasía
Atreveix-te a fer les coses a la teva manera;Iolanda Batallé Prats;10,90 €;86;Aventuras
Faré tot el que tu vulguis;Iolanda Batallé Prats;18,90 €;87;Distopía
Napalm al cor;Pol Guasch;18,90 €;88;Romántica
Canto jo i la muntanya balla;Solà, Irene;17,90 €;89;Novela histórica
Una confabulació d'imbècils;Toole, John Kennedy;19,90 €;90;Ciencia ficción
Et vaig donar ulls i vas mirar les tenebres;Solà, Irene;17,90 €;91;Romántica
La mestra i la Bèstia;Monsó, Imma;19,90 €;92;Fantasía
1000 motius per viure;Pilarín Bayés;24,95 €;93;Distopía
Gran enciclopèdia del Barça (De La Sotana);La Sotana;29,90 €;94;Ciencia ficción
Aliades;Feixas Torres, Txell;19,95 €;95;Novela negra, thriller o suspense.
El futur de la humanitat;Eudald Carbonell;18,50 €;96;Fantasía
Sang calenta;Irene Némirovsky;16,00 €;97;Aventuras
Lliçons de química;Garmus, Bonnie;21,00 €;98;Aventuras
L'antifranquisme oblidat. De la dissidència cristiana al comunisme revolucionari;Ivan Bordetas Jiménez/Anna Sánchez Sorribas;21,90 €;99;Novela negra, thriller o suspense.
Poesia completa;T. S. Eliot;25,00 €;100;Romántica
Un mal any;Fante, John;15,00 €;84;
Poesies;Catul;9,95 €;85;Fantasía
Atreveix-te a fer les coses a la teva manera;Iolanda Batallé Prats;10,90 €;86;Aventuras
Faré tot el que tu vulguis;Iolanda Batallé Prats;18,90 €;87;Distopía
Napalm al cor;Pol Guasch;18,90 €;88;Romántica
Canto jo i la muntanya balla;Solà, Irene;17,90 €;89;Novela histórica
Una confabulació d'imbècils;Toole, John Kennedy;19,90 €;90;Ciencia ficción
Et vaig donar ulls i vas mirar les tenebres;Solà, Irene;17,90 €;91;Romántica
La mestra i la Bèstia;Monsó, Imma;19,90 €;92;Fantasía
1000 motius per viure;Pilarín Bayés;24,95 €;93;Distopía
Gran enciclopèdia del Barça (De La Sotana);La Sotana;29,90 €;94;Ciencia ficción
Aliades;Feixas Torres, Txell;19,95 €;95;Novela negra, thriller o suspense.
El futur de la humanitat;Eudald Carbonell;18,50 €;96;Fantasía
Sang calenta;Irene Némirovsky;16,00 €;97;Aventuras
Lliçons de química;Garmus, Bonnie;21,00 €;98;Aventuras
L'antifranquisme oblidat. De la dissidència cristiana al comunisme revolucionari;Ivan Bordetas Jiménez/Anna Sánchez Sorribas;21,90 €;99;Novela negra, thriller o suspense.
Poesia completa;T. S. Eliot;25,00 €;100;Romántica
